"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Class"
"GO:0048821","erythrocyte development","4/181","33/18670","2.806676e-04","0.17911855","0.16828652","SOX6/SH2B3/ZBTB7A/ARID4A"," 4","BP"
"GO:0036124","histone H3-K9 trimethylation","3/181","16/18670","4.573139e-04","0.17911855","0.16828652","SUV39H1/ARID4A/MECP2"," 3","BP"
"GO:0006367","transcription initiation from RNA polymerase II promoter","8/181","188/18670","5.058043e-04","0.17911855","0.16828652","NR4A3/NR2C2/E2F2/NR6A1/HNF1B/RORA/WWTR1/MECP2"," 8","BP"
"GO:0061515","myeloid cell development","5/181","70/18670","5.891954e-04","0.17911855","0.16828652","SOX6/SH2B3/ZBTB7A/ARID4A/WASF2"," 5","BP"
"GO:0070997","neuron death","11/181","348/18670","6.052810e-04","0.17911855","0.16828652","NR4A3/PAK3/FOXO3/BCL2/GDNF/PPT1/SARM1/SLC9A1/ATG7/AP2B1/MECP2","11","BP"
"GO:0070317","negative regulation of G0 to G1 transition","4/181","41/18670","6.539208e-04","0.17911855","0.16828652","TFDP2/RBBP4/FOXO4/CBX5"," 4","BP"
"GO:1905276","regulation of epithelial tube formation","3/181","18/18670","6.569310e-04","0.17911855","0.16828652","DVL3/GDNF/VANGL2"," 3","BP"
"GO:0007409","axonogenesis","13/181","468/18670","6.647385e-04","0.17911855","0.16828652","NR4A3/TBR1/PAK3/BCL2/GDNF/NRXN1/ZSWIM4/ATP8A2/DCLK1/VANGL2/UNC5C/PLXNA4/RND2","13","BP"
"GO:0038034","signal transduction in absence of ligand","5/181","72/18670","6.706048e-04","0.17911855","0.16828652","FOXO3/BCL2/BCL2L2/GDNF/BAK1"," 5","BP"
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","5/181","72/18670","6.706048e-04","0.17911855","0.16828652","FOXO3/BCL2/BCL2L2/GDNF/BAK1"," 5","BP"
"GO:0006352","DNA-templated transcription, initiation","9/181","249/18670","7.430407e-04","0.18042379","0.16951282","NR4A3/NR2C2/E2F2/NR6A1/HNF1B/RORA/WWTR1/MECP2/POLR3H"," 9","BP"
"GO:0042752","regulation of circadian rhythm","6/181","114/18670","8.578664e-04","0.18796260","0.17659573","SUV39H1/USP2/PRKAA2/RORA/ATG7/ARNTL2"," 6","BP"
"GO:0070316","regulation of G0 to G1 transition","4/181","45/18670","9.335409e-04","0.18796260","0.17659573","TFDP2/RBBP4/FOXO4/CBX5"," 4","BP"
"GO:1901214","regulation of neuron death","10/181","313/18670","9.852027e-04","0.18796260","0.17659573","NR4A3/PAK3/FOXO3/BCL2/GDNF/PPT1/SARM1/ATG7/AP2B1/MECP2","10","BP"
"GO:0045023","G0 to G1 transition","4/181","47/18670","1.100870e-03","0.19602818","0.18417355","TFDP2/RBBP4/FOXO4/CBX5"," 4","BP"
"GO:0072215","regulation of metanephros development","3/181","23/18670","1.375881e-03","0.22968615","0.21579609","GDNF/HNF1B/WWTR1"," 3","BP"
"GO:0009791","post-embryonic development","5/181","88/18670","1.658077e-03","0.26051314","0.24475885","SOX6/BCL2/AGO2/BAK1/MECP2"," 5","BP"
"GO:0071453","cellular response to oxygen levels","8/181","234/18670","2.063755e-03","0.30159222","0.28335370","NPEPPS/CPEB1/FOXO3/BCL2/SUV39H1/SLC9A1/RORA/ATG7"," 8","BP"
"GO:0060993","kidney morphogenesis","5/181","94/18670","2.217595e-03","0.30159222","0.28335370","BCL2/GDNF/HNF1B/WWTR1/VANGL2"," 5","BP"
"GO:2001025","positive regulation of response to drug","3/181","28/18670","2.456261e-03","0.30159222","0.28335370","FOXO3/GDNF/RAB3B"," 3","BP"
"GO:0001558","regulation of cell growth","11/181","416/18670","2.516720e-03","0.30159222","0.28335370","CRLF3/NDRG3/RIMS1/BCL2/SERTAD3/SMURF1/RPS6KA1/PPT1/SLC9A1/PLXNA4/RND2","11","BP"
"GO:0016049","cell growth","12/181","484/18670","2.754423e-03","0.30159222","0.28335370","CRLF3/NDRG3/RIMS1/BCL2/SERTAD3/SMURF1/RPS6KA1/PPT1/SLC9A1/DCLK1/PLXNA4/RND2","12","BP"
"GO:0048872","homeostasis of number of cells","8/181","246/18670","2.809627e-03","0.30159222","0.28335370","FOXO3/SOX6/BCL2/SH2B3/ZBTB7A/BAK1/ARID4A/ILDR2"," 8","BP"
"GO:0046320","regulation of fatty acid oxidation","3/181","30/18670","3.001193e-03","0.30159222","0.28335370","NR4A3/TYSND1/FABP3"," 3","BP"
"GO:0002262","myeloid cell homeostasis","6/181","147/18670","3.129589e-03","0.30159222","0.28335370","FOXO3/SOX6/SH2B3/ZBTB7A/BAK1/ARID4A"," 6","BP"
"GO:0035794","positive regulation of mitochondrial membrane permeability","4/181","64/18670","3.451980e-03","0.30159222","0.28335370","TFDP2/BCL2/BAK1/SLC9A1"," 4","BP"
"GO:0035567","non-canonical Wnt signaling pathway","6/181","150/18670","3.457341e-03","0.30159222","0.28335370","AGO1/SMURF1/DVL3/AGO2/VANGL2/AP2B1"," 6","BP"
"GO:0042391","regulation of membrane potential","11/181","434/18670","3.474168e-03","0.30159222","0.28335370","CLIC1/RIMS1/BCL2/KCNH4/SCN4B/KCNK10/NRXN1/BAK1/SLC9A1/MECP2/GRIK3","11","BP"
"GO:0030902","hindbrain development","6/181","152/18670","3.689606e-03","0.30159222","0.28335370","TBR1/BCL2/HNF1B/RORA/MECP2/B4GALT2"," 6","BP"
"GO:1905710","positive regulation of membrane permeability","4/181","66/18670","3.857510e-03","0.30159222","0.28335370","TFDP2/BCL2/BAK1/SLC9A1"," 4","BP"
"GO:0050905","neuromuscular process","5/181","107/18670","3.883845e-03","0.30159222","0.28335370","NR4A3/NRXN1/ATP8A2/OPA3/MECP2"," 5","BP"
"GO:0071156","regulation of cell cycle arrest","5/181","108/18670","4.041041e-03","0.30159222","0.28335370","CRLF3/TFDP2/ARID3A/ZNF268/FOXO4"," 5","BP"
"GO:0071456","cellular response to hypoxia","7/181","207/18670","4.126284e-03","0.30159222","0.28335370","NPEPPS/CPEB1/FOXO3/BCL2/SUV39H1/SLC9A1/RORA"," 7","BP"
"GO:0007623","circadian rhythm","7/181","208/18670","4.235895e-03","0.30159222","0.28335370","SUV39H1/USP2/PRKAA2/HNF1B/RORA/ATG7/ARNTL2"," 7","BP"
"GO:1901215","negative regulation of neuron death","7/181","208/18670","4.235895e-03","0.30159222","0.28335370","NR4A3/BCL2/GDNF/PPT1/ATG7/AP2B1/MECP2"," 7","BP"
"GO:0007265","Ras protein signal transduction","11/181","448/18670","4.404952e-03","0.30159222","0.28335370","CYTH1/CDC42SE1/RIT1/RASGEF1A/RABGEF1/VANGL2/RAB3B/RND2/WASF2/ARHGEF37/KSR1","11","BP"
"GO:0043523","regulation of neuron apoptotic process","7/181","210/18670","4.461721e-03","0.30159222","0.28335370","NR4A3/PAK3/FOXO3/BCL2/GDNF/PPT1/MECP2"," 7","BP"
"GO:1901030","positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","3/181","35/18670","4.669776e-03","0.30159222","0.28335370","TFDP2/BCL2/BAK1"," 3","BP"
"GO:0002887","negative regulation of myeloid leukocyte mediated immunity","2/181","11/18670","4.853552e-03","0.30159222","0.28335370","RABGEF1/CD84"," 2","BP"
"GO:0051583","dopamine uptake involved in synaptic transmission","2/181","11/18670","4.853552e-03","0.30159222","0.28335370","GDNF/RAB3B"," 2","BP"
"GO:0051934","catecholamine uptake involved in synaptic transmission","2/181","11/18670","4.853552e-03","0.30159222","0.28335370","GDNF/RAB3B"," 2","BP"
"GO:0030218","erythrocyte differentiation","5/181","114/18670","5.081119e-03","0.30159222","0.28335370","FOXO3/SOX6/SH2B3/ZBTB7A/ARID4A"," 5","BP"
"GO:0036294","cellular response to decreased oxygen levels","7/181","217/18670","5.324358e-03","0.30159222","0.28335370","NPEPPS/CPEB1/FOXO3/BCL2/SUV39H1/SLC9A1/RORA"," 7","BP"
"GO:0051567","histone H3-K9 methylation","3/181","37/18670","5.465942e-03","0.30159222","0.28335370","SUV39H1/ARID4A/MECP2"," 3","BP"
"GO:0043270","positive regulation of ion transport","8/181","275/18670","5.482956e-03","0.30159222","0.28335370","SCN4B/GDNF/BAK1/SLC9A1/ATP8A2/RAB3B/FABP3/CASK"," 8","BP"
"GO:0007411","axon guidance","8/181","276/18670","5.601097e-03","0.30159222","0.28335370","NR4A3/TBR1/GDNF/NRXN1/ZSWIM4/VANGL2/UNC5C/PLXNA4"," 8","BP"
