"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Class"
"GO:0050804","modulation of chemical synaptic transmission","62/1196","436/18670","2.623241e-09","7.878635e-06","6.905793e-06","KCNB1/ADNP/MECP2/SYNGR1/SHISA7/PSEN1/CACNA2D2/ATP2A2/DCC/NPTXR/SYT11/RGS4/GRM7/ADORA2A/NRXN1/CD38/SLC4A10/CLSTN2/CACNG2/ASIC1/PRKACA/SHISA6/SLC6A4/S1PR2/GRIN2A/RAB3B/CHRM2/RAB5A/PCDH17/ABL1/EPHB2/BACE1/PRKCB/CX3CL1/CACNG7/FAM107A/IQSEC2/GLUL/GRIK3/EIF4EBP2/RIMS1/CAMK2A/CACNB2/MEF2C/HTR2A/SHISA9/FBXL20/MPP2/NCDN/NEUROD2/NTNG1/SLC24A2/CACNA1A/PREPL/SNCAIP/SRF/SYT1/BDNF/NTRK2/KCTD13/CALM3/SYT7","62","BP"
"GO:0099177","regulation of trans-synaptic signaling","62/1196","437/18670","2.871746e-09","7.878635e-06","6.905793e-06","KCNB1/ADNP/MECP2/SYNGR1/SHISA7/PSEN1/CACNA2D2/ATP2A2/DCC/NPTXR/SYT11/RGS4/GRM7/ADORA2A/NRXN1/CD38/SLC4A10/CLSTN2/CACNG2/ASIC1/PRKACA/SHISA6/SLC6A4/S1PR2/GRIN2A/RAB3B/CHRM2/RAB5A/PCDH17/ABL1/EPHB2/BACE1/PRKCB/CX3CL1/CACNG7/FAM107A/IQSEC2/GLUL/GRIK3/EIF4EBP2/RIMS1/CAMK2A/CACNB2/MEF2C/HTR2A/SHISA9/FBXL20/MPP2/NCDN/NEUROD2/NTNG1/SLC24A2/CACNA1A/PREPL/SNCAIP/SRF/SYT1/BDNF/NTRK2/KCTD13/CALM3/SYT7","62","BP"
"GO:0006836","neurotransmitter transport","41/1196","269/18670","2.004831e-07","3.666836e-04","3.214061e-04","SLC6A17/PSEN1/ATP2A2/SYT11/RGS4/ADORA2A/NRXN1/SV2C/SLC38A7/LIN7A/MAOB/ASIC1/AQP1/NOS1/SLC6A4/RAB3B/CHRM2/RAB5A/HTR2C/BACE1/PRKCB/SLC38A1/SLC6A20/GLUL/SV2B/RIMS1/CAMK2A/SLC36A1/CACNB2/MEF2C/HTR2A/FBXL20/SNAP29/SLC5A7/PREPL/SNCAIP/SYT1/CALM3/SLC6A8/SYT7/SLC1A2","41","BP"
"GO:0023061","signal release","59/1196","462/18670","3.034667e-07","4.162804e-04","3.648787e-04","KCNB1/MAP4K4/PSEN1/CACNA2D2/REST/ATP2A2/RAB11FIP3/SYT11/ACVR2B/ADORA2A/NRXN1/HNF4A/CD38/LIN7A/ASIC1/FGB/GLP1R/SOX4/SMAD2/CHRM2/RAB5A/RFX3/SMAD4/HTR2C/BACE1/PRKCB/RAB11FIP5/ILDR2/GLUL/OPRM1/RIMS1/RAB8B/CAMK2A/CACNB2/MEF2C/HTR2A/VPS35/FBXL20/SNAP29/SLC5A7/CACNA1A/PREPL/GNAS/PAX8/SMPD3/SNCAIP/STXBP4/SYT1/CLOCK/CALM3/PIM3/LIF/CACNA1E/PFKFB2/PTPN23/BMP8A/SYT7/RFX6/GJA1","59","BP"
"GO:0009791","post-embryonic development","20/1196","88/18670","5.404240e-07","5.930613e-04","5.198310e-04","MECP2/ARID5B/PSEN1/CHST11/ACVR2B/CCDC47/SLC4A10/PYGO1/SMAD2/FOXP2/PLAGL2/ABL1/PLEKHA1/PYGO2/ATRX/EMX1/ETNK2/ALDH5A1/BCL2/GNAS","20","BP"
"GO:0050808","synapse organization","53/1196","408/18670","7.129892e-07","6.520286e-04","5.715171e-04","CDC42/ADNP/MECP2/SHISA7/NFIA/PSEN1/CACNA2D2/REST/PCDHGC3/MDGA1/NRXN1/ROBO2/LZTS3/AMIGO1/CLSTN2/CACNG2/CRIPT/SPOCK2/SHISA6/SRCIN1/NTRK3/SEMA3E/LMX1A/ZC4H2/PDLIM5/PCDH17/ABL1/EPHB2/CX3CL1/GABRB3/GRIPAP1/CAPRIN1/SEMA4D/ARHGEF15/CACNB4/NEDD4/CACNB2/MEF2C/VPS35/LRTM2/SLITRK3/NEUROD2/NTNG1/PAK3/NFASC/IGF1R/POU4F1/SEMA4A/EPHA7/BDNF/NTRK2/SEZ6/ZNF365","53","BP"
"GO:0031056","regulation of histone modification","26/1196","143/18670","1.215220e-06","9.525587e-04","8.349382e-04","RNF20/MECP2/DNMT3B/PHF19/KMT2A/MTF2/KDM5A/NOS1/OGT/SMAD4/UBE2N/SET/MLLT6/PYGO2/SKI/WBP2/ATRX/MAPK8/SDR16C5/C6orf89/PPARGC1A/NELFE/NSD1/JDP2/TP53/LIF","26","BP"
"GO:0016569","covalent chromatin modification","58/1196","474/18670","1.557692e-06","1.044868e-03","9.158490e-04","RNF20/MECP2/REST/KAT5/NAA50/DNMT3B/PHF20/PHF19/PRDM2/USP36/KMT2A/USP15/TBL1XR1/WAC/MTF2/EYA3/NAA60/KDM5A/HDAC8/TET3/MORC2/NOS1/OGT/BRCC3/SMAD4/ING5/UBE2N/KANSL1/SET/MLLT6/PRKCB/PYGO2/SKI/WBP2/ATRX/MAPK8/SDR16C5/TET2/C6orf89/PPARGC1A/NELFE/EZH1/NSD1/PCGF5/MBD1/SUPT7L/BRPF3/DPF3/PCGF2/MSL2/JDP2/CLOCK/TP53/GTF3C4/LIF/HDAC7/PRDM6/PRMT3","58","BP"
"GO:0016570","histone modification","56/1196","454/18670","1.832291e-06","1.044868e-03","9.158490e-04","RNF20/MECP2/REST/KAT5/NAA50/DNMT3B/PHF20/PHF19/PRDM2/USP36/KMT2A/USP15/TBL1XR1/WAC/MTF2/EYA3/NAA60/KDM5A/HDAC8/TET3/NOS1/OGT/BRCC3/SMAD4/ING5/UBE2N/KANSL1/SET/MLLT6/PRKCB/PYGO2/SKI/WBP2/ATRX/MAPK8/SDR16C5/TET2/C6orf89/PPARGC1A/NELFE/EZH1/NSD1/PCGF5/SUPT7L/BRPF3/DPF3/PCGF2/MSL2/JDP2/CLOCK/TP53/GTF3C4/LIF/HDAC7/PRDM6/PRMT3","56","BP"
"GO:0046834","lipid phosphorylation","16/1196","64/18670","1.904260e-06","1.044868e-03","9.158490e-04","AGK/SOCS7/EFR3B/PIK3R1/PIP4K2B/DGKH/PIK3CG/PIK3CB/PIK3R3/SOCS5/DGKG/SMG1/PI4K2B/PIK3C2A/SOCS3/TMEM150A","16","BP"
"GO:1902275","regulation of chromatin organization","30/1196","185/18670","2.328179e-06","1.087727e-03","9.534165e-04","RNF20/MECP2/DNMT3B/PHF19/KMT2A/MTF2/KDM5A/MORC2/NOS1/HMGA1/OGT/SMAD4/UBE2N/SET/MLLT6/PYGO2/SPTY2D1/SKI/WBP2/ATRX/MAPK8/SDR16C5/C6orf89/PPARGC1A/NELFE/HNRNPU/NSD1/JDP2/TP53/LIF","30","BP"
"GO:0051588","regulation of neurotransmitter transport","25/1196","139/18670","2.378846e-06","1.087727e-03","9.534165e-04","PSEN1/ATP2A2/SYT11/RGS4/ADORA2A/MAOB/ASIC1/NOS1/SLC6A4/RAB3B/CHRM2/RAB5A/HTR2C/BACE1/PRKCB/RIMS1/CAMK2A/CACNB2/MEF2C/HTR2A/FBXL20/PREPL/SNCAIP/SYT1/CALM3","25","BP"
"GO:0001505","regulation of neurotransmitter levels","46/1196","354/18670","3.784543e-06","1.564606e-03","1.371411e-03","PRIMA1/PSEN1/ATP2A2/SYT11/RGS4/ADORA2A/NRXN1/LIN7A/MAOB/ASIC1/ATP2B4/NOS1/SLC6A4/BTBD9/GRIN2A/RAB3B/CHRM2/ENPP6/RAB5A/MAOA/BACE1/PRKCB/PDE1B/KLRK1/SLC38A1/CD34/GLUL/TPH1/RIMS1/CAMK2A/CACNB2/MEF2C/HTR2A/FBXL20/SNAP29/TMEM106A/SLC5A7/PREPL/ALDH5A1/SNCAIP/SYT1/CALM3/SYT7/RORA/SHMT2/SLC1A2","46","BP"
"GO:0050919","negative chemotaxis","13/1196","46/18670","3.992069e-06","1.564606e-03","1.371411e-03","SEMA5A/PLXNA4/ROBO2/SEMA6A/SEMA3E/SEMA4D/SEMA4G/UNC5C/LRTM2/SEMA5B/SEMA6D/SEMA4A/EPHA7","13","BP"
"GO:0051961","negative regulation of nervous system development","42/1196","315/18670","5.174795e-06","1.892940e-03","1.659203e-03","MAP4K4/SUFU/SEMA5A/GPR161/PSEN1/REST/DCC/ROBO2/CD38/PRKACA/SEMA6A/SLC6A4/NTRK3/SEMA3E/LMX1A/INPP5F/PMP22/ID4/EPHB2/CX3CL1/KREMEN1/TBX6/SKI/RTN4RL2/DAAM2/SEMA4D/SEMA4G/ARHGEF15/THRB/NEUROD2/PCM1/RGMA/SEMA5B/MBD1/SEMA6D/SEMA4A/EPHA7/TP53/SOX10/HOOK3/KCTD11/ZNF365","42","BP"
"GO:0043543","protein acylation","35/1196","248/18670","8.970203e-06","3.076219e-03","2.696372e-03","MECP2/KAT5/NAA15/NAA50/PHF20/KMT2A/ZDHHC9/NAA60/ZDHHC21/NMT1/ZDHHC3/NOS1/SOX4/OGT/SMAD4/ING5/KANSL1/SET/PYGO2/WBP2/NMT2/GLUL/SDR16C5/PPARGC1A/TAOK1/ZDHHC11/FOXO1/SUPT7L/BRPF3/DPF3/PCGF2/MSL2/CLOCK/GTF3C4/LIF","35","BP"
"GO:0071383","cellular response to steroid hormone stimulus","35/1196","250/18670","1.071822e-05","3.337948e-03","2.925783e-03","NR2C2/PIAS1/REST/ESR1/KAT5/DNMT3B/HNF4A/ESRRG/AQP1/ZBTB7A/TRIM68/TFPI/NR5A2/FAM107A/PPARGC1B/ADTRP/STC1/WBP2/NR3C1/PPARGC1A/NEDD4/AR/THRB/HNRNPU/CBFB/CALCOCO1/TP63/FOXO1/ERRFI1/NCOA4/CLOCK/DDX17/SOX10/RORA/RNF14","35","BP"
"GO:0046854","phosphatidylinositol phosphorylation","13/1196","50/18670","1.095007e-05","3.337948e-03","2.925783e-03","SOCS7/EFR3B/PIK3R1/PIP4K2B/PIK3CG/PIK3CB/PIK3R3/SOCS5/SMG1/PI4K2B/PIK3C2A/SOCS3/TMEM150A","13","BP"
"GO:0031058","positive regulation of histone modification","18/1196","90/18670","1.338348e-05","3.865008e-03","3.387763e-03","RNF20/MECP2/DNMT3B/PHF19/KMT2A/MTF2/NOS1/OGT/SMAD4/UBE2N/WBP2/SDR16C5/C6orf89/PPARGC1A/NELFE/JDP2/TP53/LIF","18","BP"
"GO:1905269","positive regulation of chromatin organization","19/1196","103/18670","2.600144e-05","6.576874e-03","5.764772e-03","RNF20/MECP2/DNMT3B/PHF19/KMT2A/MTF2/MORC2/NOS1/OGT/SMAD4/UBE2N/WBP2/SDR16C5/C6orf89/PPARGC1A/NELFE/JDP2/TP53/LIF","19","BP"
"GO:0017158","regulation of calcium ion-dependent exocytosis","20/1196","112/18670","2.636983e-05","6.576874e-03","5.764772e-03","KCNB1/REST/ATP2A2/SYT11/ADORA2A/CHRM2/RAB5A/BACE1/PRKCB/CACNA1I/RIMS1/CAMK2A/CACNB2/HTR2A/FBXL20/PREPL/SCAMP5/SYT1/CALM3/SYT7","20","BP"
"GO:0098693","regulation of synaptic vesicle cycle","20/1196","112/18670","2.636983e-05","6.576874e-03","5.764772e-03","ATP2A2/SYT11/ADORA2A/NRXN1/BTBD9/RAB3B/CHRM2/RAB5A/PCDH17/BACE1/PRKCB/GRIPAP1/RIMS1/CAMK2A/CACNB2/HTR2A/FBXL20/PREPL/SYT1/CALM3","20","BP"
