ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04152	AMPK signaling pathway	5/75	120/8016	0.005182099	0.4541820	0.4361489	2309/23216/5527/5563/57818	5
hsa00604	Glycosphingolipid biosynthesis - ganglio series	2/75	15/8016	0.008382446	0.4541820	0.4361489	27090/30815	2
hsa03015	mRNA surveillance pathway	4/75	91/8016	0.010233379	0.4541820	0.4361489	5527/100529063/8106/53981	4
hsa05222	Small cell lung cancer	4/75	92/8016	0.010624140	0.4541820	0.4361489	3915/596/1870/578	4
hsa04931	Insulin resistance	4/75	108/8016	0.018228621	0.4926540	0.4730934	5563/6195/57818/79660	4
hsa05223	Non-small cell lung cancer	3/75	66/8016	0.023632919	0.4926540	0.4730934	2309/1870/578	3
hsa04722	Neurotrophin signaling pathway	4/75	119/8016	0.025025388	0.4926540	0.4730934	2309/596/6195/10019	4
hsa00052	Galactose metabolism	2/75	31/8016	0.033721185	0.4926540	0.4730934	57818/8704	2
hsa04710	Circadian rhythm	2/75	31/8016	0.033721185	0.4926540	0.4730934	5563/6095	2
hsa04068	FoxO signaling pathway	4/75	131/8016	0.033984462	0.4926540	0.4730934	2309/5563/57818/4303	4
hsa04215	Apoptosis - multiple species	2/75	32/8016	0.035755190	0.4926540	0.4730934	596/578	2
hsa04120	Ubiquitin mediated proteolysis	4/75	136/8016	0.038204430	0.4926540	0.4730934	57154/54926/10477/9246	4
hsa04140	Autophagy - animal	4/75	137/8016	0.039083094	0.4926540	0.4730934	596/5563/53349/10533	4
hsa05130	Pathogenic Escherichia coli infection	5/75	202/8016	0.040334247	0.4926540	0.4730934	9267/5063/100506658/578/10163	5
hsa05216	Thyroid cancer	2/75	37/8016	0.046601240	0.5082762	0.4880954	8030/578	2
hsa04261	Adrenergic signaling in cardiomyocytes	4/75	149/8016	0.050530386	0.5082762	0.4880954	596/5527/6330/6548	4
hsa05226	Gastric cancer	4/75	149/8016	0.050530386	0.5082762	0.4880954	596/1870/1857/578	4
hsa05225	Hepatocellular carcinoma	4/75	168/8016	0.072034983	0.6657955	0.6393604	6602/1870/1857/578	4
hsa04340	Hedgehog signaling pathway	2/75	50/8016	0.079369286	0.6657955	0.6393604	596/57154	2
hsa04071	Sphingolipid signaling pathway	3/75	119/8016	0.100074459	0.6657955	0.6393604	596/5527/259230	3
hsa05213	Endometrial cancer	2/75	58/8016	0.102186328	0.6657955	0.6393604	2309/578	2
hsa04151	PI3K-Akt signaling pathway	6/75	354/8016	0.112948518	0.6657955	0.6393604	3915/2309/596/5527/5563/57818	6
hsa04213	Longevity regulating pathway - multiple species	2/75	62/8016	0.114198404	0.6657955	0.6393604	2309/5563	2
hsa04510	Focal adhesion	4/75	199/8016	0.115530745	0.6657955	0.6393604	5063/3915/596/4660	4
hsa05217	Basal cell carcinoma	2/75	63/8016	0.117256735	0.6657955	0.6393604	1857/578	2
hsa04114	Oocyte meiosis	3/75	128/8016	0.117748865	0.6657955	0.6393604	64506/5527/6195	3
hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	1/75	14/8016	0.123406577	0.6657955	0.6393604	8704	1
hsa04920	Adipocytokine signaling pathway	2/75	69/8016	0.136021416	0.6657955	0.6393604	5563/57818	2
hsa04910	Insulin signaling pathway	3/75	137/8016	0.136502605	0.6657955	0.6393604	5563/57818/79660	3
hsa04810	Regulation of actin cytoskeleton	4/75	213/8016	0.138253906	0.6657955	0.6393604	5063/4660/6548/10163	4
hsa05132	Salmonella infection	4/75	214/8016	0.139943014	0.6657955	0.6393604	9267/5063/596/578	4
hsa04520	Adherens junction	2/75	71/8016	0.142419495	0.6657955	0.6393604	5787/10163	2
hsa04115	p53 signaling pathway	2/75	72/8016	0.145642716	0.6657955	0.6393604	900/596	2
hsa05218	Melanoma	2/75	72/8016	0.145642716	0.6657955	0.6393604	1870/578	2
hsa01524	Platinum drug resistance	2/75	73/8016	0.148881298	0.6657955	0.6393604	596/578	2
hsa04971	Gastric acid secretion	2/75	75/8016	0.155402320	0.6657955	0.6393604	54207/6548	2
hsa05214	Glioma	2/75	75/8016	0.155402320	0.6657955	0.6393604	1870/578	2
hsa05224	Breast cancer	3/75	147/8016	0.158457674	0.6657955	0.6393604	1870/1857/578	3
