mirnaid,refseqid,genesymbol,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
hsa-miR-10b-5p,NM_001163545,SYNRG,6825,6838,0.953846153846,-17.9,1,0.04081522,0.662,1.5734034285714285,2.7368805375000003,-7.469185894797857,11,13,7,3UTR,,0,0
hsa-miR-10b-5p,NM_001163547,SYNRG,6444,6457,0.953846153846,-17.9,1,0.04081522,0.662,2.6761942857142857,2.60107536875,-7.469185894797857,11,13,7,3UTR,,0,0
hsa-miR-10b-5p,NM_001163546,SYNRG,6657,6670,0.953846153846,-17.9,1,0.04081522,0.662,0.6554555714285714,2.8337732548750005,-7.469185894797857,11,13,7,3UTR,,0,0
hsa-miR-10b-5p,NM_080550,SYNRG,6792,6805,0.953846153846,-17.9,1,0.04081522,0.662,0.780514,2.7492721749999998,-7.469185894797857,11,13,7,3UTR,,0,0
hsa-miR-10b-5p,NM_198882,SYNRG,6897,6910,0.953846153846,-17.9,1,0.04081522,0.662,0.780514,2.7492721749999998,-7.469185894797857,11,13,7,3UTR,,0,0
hsa-miR-10b-5p,NM_024979,MCF2L,4459,4472,0.953846153846,-18.9,1,1.167097e-05,0.529,0.3634079416666666,0.22755175750000017,-7.052043616942562,12,13,12,3UTR,,0,0
hsa-miR-10b-5p,NM_016955,SEPSECS,4409,4428,0.961538461538,-19.5,1,4.275165e-05,0.588,2.079251555555556,3.879322642499999,-8.82817512285937,18,19,18,3UTR,,0,0
hsa-miR-10b-5p,NM_002668,PLP2,942,987,0.961538461538,-18.7,1,0.01203508,0.676,0.0,0.0,-5.1900497996759025,13,16,11,3UTR,,0,0
hsa-miR-10b-5p,NM_144657,HDX,4374,4391,0.961538461538,-18.7,1,0.001257456,0.676,0.0,0.0,-4.906073086755913,14,17,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001177478,HDX,4336,4353,0.961538461538,-18.7,1,0.001257456,0.676,0.0,0.0,-4.906073086755913,14,17,8,3UTR,,0,0
hsa-miR-10b-5p,NM_001177479,HDX,4483,4500,0.961538461538,-18.7,1,0.001257456,0.676,0.0,0.0,-4.906073086755913,14,17,8,3UTR,,0,0
hsa-miR-10b-5p,NM_198268,HIPK1,3909,3921,0.961538461538,-20.2,1,8.517825e-05,0.515,0.16375048181818178,0.7860692725,-6.782339277446944,11,12,11,3UTR,,0,0
hsa-miR-10b-5p,XM_006710443,HIPK1,3805,3817,0.961538461538,-20.2,1,8.517825e-05,0.515,0.0,0.0,-6.782339277446944,11,12,11,3UTR,,0,0
hsa-miR-10b-5p,XM_017002417,SNX27,2884,2896,0.961538461538,-19.7,1,0.001223137,0.5,0.0,0.0,-6.782339277446944,11,12,11,3UTR,,0,0
